UniProt_Id                                                                                          ,Gene_Symbol                                                                                         ,Protein_Name                                                                                                                                                                                                                                                    ,Gene_Names                                                                                                                                                                                                                                                      ,Accession                                         ,PsmSum     ,MeanPsm             ,PsmPresent ,PctPresent          
----------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,--------------------------------------------------,-----------,--------------------,-----------,--------------------
P01009                                                                                              ,A1AT                                                                                                ,Alpha-1-antitrypsin                                                                                                                                                                                                                                             ,SERPINA1                                                                                                                                                                                                                                                        ,P01009                                            ,      76260,              245.21,        303,               97.43
P01011                                                                                              ,AACT                                                                                                ,Alpha-1-antichymotrypsin                                                                                                                                                                                                                                        ,SERPINA3                                                                                                                                                                                                                                                        ,P01011                                            ,      14860,               47.78,        303,               97.43
P01023                                                                                              ,A2MG                                                                                                ,Alpha-2-macroglobulin                                                                                                                                                                                                                                           ,A2M                                                                                                                                                                                                                                                             ,P01023                                            ,      22173,               71.30,        303,               97.43
P01859                                                                                              ,IGHG2                                                                                               ,Immunoglobulin heavy constant gamma 2                                                                                                                                                                                                                           ,IGHG2                                                                                                                                                                                                                                                           ,P01859                                            ,      55591,              178.75,        303,               97.43
P02649                                                                                              ,APOE                                                                                                ,Apolipoprotein E                                                                                                                                                                                                                                                ,APOE                                                                                                                                                                                                                                                            ,P02649                                            ,       8529,               27.42,        303,               97.43
P02760                                                                                              ,AMBP                                                                                                ,Protein AMBP                                                                                                                                                                                                                                                    ,AMBP                                                                                                                                                                                                                                                            ,P02760                                            ,       6630,               21.32,        303,               97.43
P02763                                                                                              ,A1AG1                                                                                               ,Alpha-1-acid glycoprotein 1                                                                                                                                                                                                                                     ,ORM1                                                                                                                                                                                                                                                            ,P02763                                            ,      42231,              135.79,        303,               97.43
P02766                                                                                              ,TTHY                                                                                                ,Transthyretin                                                                                                                                                                                                                                                   ,TTR                                                                                                                                                                                                                                                             ,P02766                                            ,      48991,              157.53,        303,               97.43
P02768                                                                                              ,ALBU                                                                                                ,Albumin                                                                                                                                                                                                                                                         ,ALB                                                                                                                                                                                                                                                             ,P02768                                            ,    1286955,             4138.12,        303,               97.43
P02787                                                                                              ,TRFE                                                                                                ,Serotransferrin                                                                                                                                                                                                                                                 ,TF                                                                                                                                                                                                                                                              ,P02787                                            ,     256036,              823.27,        303,               97.43
P25311                                                                                              ,ZA2G                                                                                                ,Zinc-alpha-2-glycoprotein                                                                                                                                                                                                                                       ,AZGP1                                                                                                                                                                                                                                                           ,P25311                                            ,      10072,               32.39,        303,               97.43
P41222                                                                                              ,PTGDS                                                                                               ,Prostaglandin-H2 D-isomerase                                                                                                                                                                                                                                    ,PTGDS                                                                                                                                                                                                                                                           ,P41222                                            ,      50435,              162.17,        303,               97.43
Q12805                                                                                              ,FBLN3                                                                                               ,EGF-containing fibulin-like extracellular matrix protein 1                                                                                                                                                                                                      ,EFEMP1                                                                                                                                                                                                                                                          ,Q12805                                            ,      14216,               45.71,        302,               97.11
P36955                                                                                              ,PEDF                                                                                                ,Pigment epithelium-derived factor                                                                                                                                                                                                                               ,SERPINF1                                                                                                                                                                                                                                                        ,P36955                                            ,      48039,              154.47,        302,               97.11
P02790                                                                                              ,HEMO                                                                                                ,Hemopexin                                                                                                                                                                                                                                                       ,HPX                                                                                                                                                                                                                                                             ,P02790                                            ,      61466,              197.64,        302,               97.11
